Company,Ticker,Market Cap,Price,Daily Change (%),Country
Apple,AAPL,2402000000000.0,145.37,-1.05,USA
Microsoft,MSFT,2210000000000.0,294.17,-1.73,USA
Alphabet (Google),GOOG,1884000000000.0,2830.0,-0.79,USA
Saudi Aramco,2222.SR,1870000000000.0,9.36,0.0,S. Arabia
Amazon,AMZN,1724000000000.0,3406.0,-0.58,USA
Facebook,FB,996890000000.0,353.58,0.18,USA
Tesla,TSLA,792760000000.0,791.36,2.19,USA
Berkshire Hathaway ,BRK-A,628950000000.0,420791.0,0.64,USA
TSMC,TSM,602360000000.0,116.15,0.44,Taiwan
Tencent,TCEHY,578980000000.0,60.34,3.54,China
NVIDIA,NVDA,539760000000.0,216.6,-1.91,USA
Visa,V,508190000000.0,229.6,-0.86,USA
JPMorgan Chase,JPM,498960000000.0,166.98,2.42,USA
Samsung,005930.KS,436300000000.0,64.8,-1.67,S. Korea
Johnson & Johnson,JNJ,429540000000.0,163.17,-0.72,USA
Alibaba,BABA,416090000000.0,150.18,3.52,China
Walmart,WMT,396660000000.0,142.25,-0.64,USA
UnitedHealth,UNH,382130000000.0,405.27,-0.44,USA
LVMH,LVMUY,376240000000.0,149.42,-1.33,France
Bank of America ,BAC,364020000000.0,43.26,2.66,USA
Home Depot,HD,360310000000.0,341.41,1.16,USA
Kweichow Moutai,600519.SS,353530000000.0,281.43,-1.98,China
Mastercard,MA,352050000000.0,356.77,-0.39,USA
ASML,ASML,345250000000.0,835.31,-3.86,Netherlands
Procter & Gamble,PG,343990000000.0,141.66,-1.32,USA
Nestlé,NSRGY,331460000000.0,120.44,-1.57,Switzerland
Walt Disney,DIS,323920000000.0,178.26,1.28,USA
PayPal,PYPL,321240000000.0,273.39,-1.7,USA
Roche,RHHBY,318400000000.0,45.61,-0.87,Switzerland
Adobe,ADBE,287570000000.0,603.65,-3.06,USA
Salesforce,CRM,273800000000.0,279.68,-2.08,USA
Netflix,NFLX,262300000000.0,592.64,0.04,USA
Prosus,PRX.VI,261230000000.00003,82.1,0.01,Netherlands
Toyota,TM,259399999999.99997,186.52,2.16,Japan
Comcast,CMCSA,258350000000.00003,56.29,0.09,USA
Exxon Mobil,XOM,251050000000.0,59.3,2.97,USA
Oracle,ORCL,249280000000.0,91.04,1.22,USA
