Company,Ticker,Market Cap,Price,Daily Change (%),Country
Apple,AAPL,2339000000000.0,141.5,-0.93,USA
Microsoft,MSFT,2118000000000.0,281.92,-0.73,USA
Saudi Aramco,2222.SR,1918000000000.0,9.6,0.0,Saudi Arabia
Alphabet (Google),GOOG,1775000000000.0,2665.0,-0.93,USA
Amazon,AMZN,1663000000000.0,3285.0,-0.49,USA
Facebook,FB,956880000000.0,339.39,-0.06,USA
Tesla,TSLA,776850000000.0,775.48,-0.75,USA
Berkshire Hathaway ,BRK-A,618220000000.0,411379.0,-1.39,USA
TSMC,TSM,579020000000.0,111.65,0.03,Taiwan
Tencent,TCEHY,573510000000.0,59.77,2.52,China
NVIDIA,NVDA,516240000000.0,207.16,0.97,USA
JPMorgan Chase,JPM,489130000000.0,163.69,-1.36,USA
Visa,V,488800000000.0,222.75,-1.73,USA
Johnson & Johnson,JNJ,425140000000.0,161.5,-1.54,USA
Samsung,005930.KS,416660000000.0,61.7,-1.48,S. Korea
Alibaba,BABA,401350000000.0,148.05,0.32,China
Walmart,WMT,388660000000.0,139.38,-0.75,USA
UnitedHealth,UNH,368430000000.0,390.74,-2.42,USA
LVMH,LVMUY,364180000000.0,143.28,-1.06,France
Bank of America ,BAC,357210000000.0,42.45,-1.44,USA
Kweichow Moutai,600519.SS,355720000000.0,283.17,0.55,China
Home Depot,HD,346430000000.0,328.26,-2.57,USA
Mastercard,MA,343080000000.0,347.68,-1.56,USA
Procter & Gamble,PG,339470000000.0,139.8,-1.56,USA
Nestlé,NSRGY,333550000000.0,120.21,-0.08,Switzerland
Roche,RHHBY,319980000000.0,45.47,0.64,Switzerland
ASML,ASML,309650000000.0,745.11,-0.71,Netherlands
Walt Disney,DIS,307400000000.0,169.17,-2.03,USA
PayPal,PYPL,305750000000.0,260.21,0.47,USA
Adobe,ADBE,274269999999.99997,575.72,-0.34,USA
Netflix,NFLX,270130000000.0,610.34,1.88,USA
Salesforce,CRM,265519999999.99997,271.22,0.27,USA
Comcast,CMCSA,256700000000.0,55.93,0.0,USA
Prosus,PRX.VI,255190000000.0,80.4,-0.53,Netherlands
Exxon Mobil,XOM,249010000000.0,58.82,-1.77,USA
Toyota,TM,248490000000.0,177.75,-4.15,Japan
ICBC,1398.HK,242610000000.0,0.56,0.0,China
Pfizer,PFE,241140000000.0,43.01,-1.19,USA
Oracle,ORCL,238180000000.0,87.13,-4.52,USA
L'Oréal,OR.PA,231030000000.0,414.28,-1.78,France
Reliance Industries,RELIANCE.NS,230590000000.0,33.98,0.07,India
Nike,NKE,229910000000.0,145.23,-0.54,USA
Cisco,CSCO,229570000000.0,54.43,-1.89,USA
Coca-Cola,KO,226490000000.0,52.47,-0.93,USA
Thermo Fisher Scientific,TMO,224770000000.0,571.33,-1.43,USA
Verizon,VZ,223600000000.0,54.01,-0.68,USA
Novo Nordisk,NVO,221950000000.0,96.01,-0.09,Denmark
Eli Lilly,LLY,221010000000.0,231.05,0.3,USA
Danaher,DHR,217330000000.0,304.44,-0.71,USA
Intel,INTC,216150000000.0,53.28,-0.39,USA
Abbott Laboratories,ABT,209420000000.0,118.13,-1.11,USA
Pepsico,PEP,207880000000.0,150.41,-1.24,USA
Accenture,ACN,202370000000.0,319.92,-1.12,Ireland
Broadcom,AVGO,199600000000.0,484.93,-0.93,USA
Costco,COST,198530000000.0,449.35,-0.54,USA
CM Bank,3968.HK,197570000000.0,7.97,-0.4,China
Chevron,CVX,196190000000.0,101.45,-1.82,USA
Meituan,MPNGF,194240000000.0,31.74,2.04,China
AT&T,T,192850000000.0,27.01,-1.42,USA
AbbVie,ABBV,190620000000.0,107.87,-0.89,USA
Wells Fargo,WFC,190570000000.0,46.41,-1.32,USA
Merck,MRK,190130000000.0,75.11,0.03,USA
CATL,300750.SZ,189460000000.0,81.35,4.62,China
Tata Consultancy Services,TCS.NS,187240000000.0,50.4,-0.97,India
Astrazeneca,AZN,186490000000.0,60.06,0.65,UK
Novartis,NVS,184920000000.0,81.78,-1.34,Switzerland
China Construction Bank,CICHY,181210000000.0,14.24,0.28,China
McDonald,MCD,180060000000.0,241.11,-1.3,USA
Morgan Stanley,MS,177540000000.0,97.31,-2.25,USA
Texas Instruments,TXN,177450000000.0,192.21,-0.45,USA
Sea (Garena),SE,175980000000.0,318.73,2.23,Singapore
Shell,RYDAF,173690000000.0,22.16,0.14,Netherlands
Medtronic,MDT,168690000000.0,125.35,-0.97,Ireland
Shopify,SHOP,168190000000.0,1356.0,0.69,Canada
PetroChina,PTR,163160000000.0,46.78,1.15,China
SAP,SAP,160800000000.0,135.04,-0.95,Germany
T-Mobile US,TMUS,159440000000.0,127.76,-0.27,USA
United Parcel Service,UPS,158610000000.0,182.1,-1.43,USA
